content,ename,more,name
本片改编自震惊印度的“德里黑公交案”。艾莉亚（萨佳·阿里 饰）在一次派对活动后遭到强暴，面对凿凿证据，四名罪犯却被法庭判为无罪。艾莉亚的继母，戴维琪（希里黛玉 饰）伤心欲绝，在走投无路后愤然决定亲手为女儿寻求正义。一场高能高智商的复仇大戏拉开序幕。正义到不了的地方，还有母亲！,Mom,"Mom,剧情,犯罪,
        印度
          / 146分钟
        ,2019-05-10大陆上映",一个母亲的复仇
该片由最高人民法院影视中心、联播聚客（北京）国际传媒有限公司联合出品，山东省青岛市中级人民法院、青岛市即墨区人民法院联合摄制。影片通过讲述一个“拒不执行法院判决、裁定罪”的司法案例，刻画了失信被执行人在社会上遭遇的种种歧视与窘境，展现了各级人民法院开展执行攻坚的坚定决心，记录了法治中国建设的进步历程。,Tracing The Shadow,"Tracing The Shadow,犯罪,
        中国大陆
          / 87分钟
        ,2018-09-19大陆上映",特别追踪
在一座极北的边陲小镇，一伙穷凶极恶、作案手法老到的悍匪为褫夺黄金，打劫运金车，并借助大雪掩盖了所有犯罪痕迹。为了探求真相，警察王康浩暗地里搜集证据，熟悉地形，终于在一场灾难级的暴雪降临时，与谋财害命的悍匪发生了惊心动魄的正面对决……,Savage,"Savage,剧情,动作,悬疑,犯罪,
        中国大陆
          / 112分钟
        ,2019-04-30 08:00大陆上映",雪暴
司机金巴（金巴 饰）在路上撞死了一只羊，决意超度此羊；杀手金巴（更登彭措 饰）即将找到杀父仇人，准备报仇雪恨。阴差阳错，杀手金巴搭上了司机金巴的卡车。于是，两个叫金巴的男人的命运便神秘地联系在了一起，一段惊心动魄的旅程开始……,Jinpa,"Jinpa,剧情,
        中国大陆
          / 87分钟
        ,2019-04-26大陆上映",撞死了一只羊
国内知名女设计师袁元（俞飞鸿 饰），日本留学归国，气质出众，事业成功，多年的合伙人雷明也对她照顾有加。然而，看似人生赢家的袁元，内心深处却始终隐藏着一个难以放下的心结。在遇到事业瓶颈时，一位日本女孩（木下彩音 饰）的突然出现打破了袁元原本风平浪静的生活，一段关于北海道的神秘往事也随之展开……,Wish You Were Here,"Wish You Were Here,剧情,
        中国大陆
          / 120分钟
        ,2019-04-12大陆上映",在乎你
从小异于常人的黑崎一护（福士苍汰 饰），在一次机缘巧合下遭遇女死神“朽木露琪亚”（杉咲花 饰）。 露琪亚是将灵魂从现实世界引领到尸魂界的收魂者之一，他们为保护人类 不被“虚” 侵害，一直在与这些怪物战斗。在与一只异常强大的“虚” 战斗时，露琪亚身负重伤，无奈只能将死神 的力量暂时转给黑崎一护，让其代为战斗。两人经过一段时间的磨合后并肩战斗，终于战胜了当年害死一护母亲的“虚”，但在这期间，露琪亚的兄长朽木白哉（石原贵雅 饰）强迫她不顾黑崎一护的生命安危收回法力。露琪亚为保护一护，拖延到与“虚”的战斗结束，并清除了一护的记忆……,Bleach,"Bleach,动作,奇幻,冒险,动画,
        日本
          / 108分钟
        ,2019-04-19大陆上映",境·界
东南亚的热带丛林，龙飞（陈虎 饰）正与搭档帕于（托尼·贾 饰）参加一项秘密任务，配合一个突击小队进行人道主义救援，但没想到，他们拼死救下的却是一个做恶多端令人闻风丧胆的犯罪头子柯林斯（斯科特·阿金斯 饰）。柯林斯被救后，把所有知情人都锁在秘密基地的地牢里，临走时一炸了之，龙飞与帕于在生死关头逃了出来。 逃出生天的二人秘谋报仇，但想报仇的不止他们，扎卡（伊科·乌艾斯 饰）的妻子在这次行动中无辜殒命，扎卡在地下拳馆见到龙飞，误认为他是凶手，以死相搏，却因伤不敌，被龙飞打昏。 龙飞和帕于好心把扎卡接到住处里休息，三人把酒言欢，没想到第二天一早，扎卡不见了，全副武装的警察却找上门来，原来扎卡举报他俩参加地下拳赛，两人被带到警察局关了起来。 中国富商的女继承人田小娴（卢靖姗 饰）来到马哈扎雅推动贫民窟改造计划，但她的计划侵犯了当地黑帮的利益进而遭到追杀，田小娴被迫逃入警局，没想到警局也不是安身之地，柯林斯带着他的雇佣兵突袭警局，田小娴再度处于危险之中。正好被关在警局的龙飞识破了黑帮的计谋，和帕于一起带田小娴逃走。 黑帮血洗警局，然后栽赃给龙飞和帕于，无奈之下龙飞和帕于只好带着田小娴开始了逃亡之旅。因为黑帮的高额赏金，三人无处藏身，而这时扎卡也加入了柯林斯的队伍，敌友不明。一路历险，田小娴对龙飞和帕于建立起信任关系，扎卡也发现追杀龙飞和帕于的恶势力都是被一个姓苏的女人暗中操控着，她才是他真正的仇人。 决战时刻，扎卡加入了龙飞的阵营，三人联手对抗全部武装的柯林斯一伙……,Triple Threat,"Triple Threat,动作,剧情,
        中国大陆,中国香港
          / 96分钟
        ,2019-03-29大陆上映",三重威胁之跨国大营救
古灵精怪的十二岁女孩朱妮小六月（索菲亚·玛丽 配音），偶然间她发现了一座神奇的乐园。小六月在乐园里遇到了憨厚可掬的蓝熊布默（肯·哈德森·坎贝尔 配音），善良的疣猪格里塔（米拉·库尼斯 配音），贫嘴的豪猪史蒂夫（约翰·奥利弗 配音），滑稽搞笑的海狸兄弟库珀（郑肯 配音）和格斯（基南·汤普森 配音），充满奇幻想象力的首领和乐园里炙手可热的动物明星猴子花生（诺尔贝特·里奥·布茨 配音），并很快和它们成为朋友。这座隐藏在森林中的神奇乐园不仅有着形形色色的动物，还有很多惊险刺激的游乐设施。但从动物朋友口中，小朱妮得知乐园已经衰败无法运营。很快，小朱妮就意识到这座神奇乐园和她之前想象中的乐园一模一样。只有她能拯救这座已经没落的乐园。于是，她和动物朋友们组成了一只小分队，希望帮助乐园重现昔日繁华。,Wonder Park,"Wonder Park,动画,冒险,喜剧,家庭,
        美国,西班牙
          / 85分钟
        ,2019-04-19大陆上映",神奇乐园历险记
情场老司机范凡（郑恺 饰）在机缘巧合之下决定开办一个“男神训练营”，用自己独到的恋爱心得助那些在爱情里苦求不得的单身狗们进化成“最佳男友”。一场婚礼上的“实践教学”让伴娘女神（张雨绮 饰）被套路之下的真心打动，几个徒弟都拥有了梦寐以求的爱情。但作为“专家”范凡自己的感情生活却是剪不断理还乱……,The Sexy Guys,"The Sexy Guys,爱情,喜剧,
        中国香港,中国大陆
          / 90分钟
        ,2019-04-12大陆上映",最佳男友进化论
过气影帝宇哥（吴镇宇 饰）与当红童星费曼（费曼 饰）因一场拍摄意外而陷入黑帮纷争的故事。失忆的宇哥意外“入戏”，以为自己就是真正的社团大哥，为了赚钱照顾儿子决定重出江湖，殊不知时代已经改变，引发一连串令人啼笑皆非的乌龙事件，更上演了险象环生的黑帮纷争……,Change of Gangster,"Change of Gangster,剧情,喜剧,动作,
        中国大陆
          / 90分钟
        ,2019-04-19大陆上映",转型团伙
